timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,highest_bid,lowest_bid,highest_ask,lowest_ask
2021-05-02,18.21070000,19.24500000,16.66930000,17.48020000,8566837.95000000,1619999999999,153963023.33773300,280761,4211662.96000000,75747751.54095000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-03,17.47700000,18.88000000,15.87690000,16.49980000,6677744.14000000,1620086399999,115173692.60011900,255605,3305671.66000000,57129774.89527700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-04,16.51960000,17.19910000,13.57900000,13.86990000,8882384.39000000,1620172799999,133507984.05102100,277440,4272567.14000000,64327392.89368200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-05,13.85670000,15.69890000,13.65010000,14.56610000,6291154.33000000,1620259199999,92173961.40708900,189302,3150438.40000000,46173939.06561400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-06,14.58770000,16.10000000,13.61000000,14.21210000,7182117.39000000,1620345599999,105806258.63492700,226871,3527696.11000000,52089723.87089300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-07,14.21220000,14.76560000,13.00000000,13.55780000,4554534.26000000,1620431999999,64296742.69964500,157455,2205807.60000000,31191075.90451000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-08,13.57330000,15.75300000,13.43870000,14.28690000,6924016.57000000,1620518399999,101314416.52500400,212477,3446316.74000000,50446799.84959700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-09,14.30990000,14.39810000,13.04000000,13.79570000,3533005.60000000,1620604799999,48773958.13471000,122117,1738373.21000000,24010291.53318600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-10,13.79380000,15.18370000,10.40000000,11.66730000,6086711.04000000,1620691199999,79858174.73846600,209768,2869300.92000000,37962712.94300700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-11,11.65540000,13.20000000,11.20000000,12.96550000,4127984.18000000,1620777599999,49926751.59320300,138241,2023210.58000000,24499386.14256500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-12,12.95280000,14.00000000,9.83100000,9.97500000,5236125.83000000,1620863999999,63612020.24312300,154644,2545547.36000000,31044563.55418600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-13,9.97540000,11.87000000,9.48000000,10.36710000,4740286.98000000,1620950399999,50610173.62468400,130785,2304674.24000000,24652272.40358300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-14,10.37630000,11.89430000,10.20360000,11.22070000,3343453.95000000,1621036799999,36996496.42169200,95600,1672573.13000000,18500381.00094900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-15,11.23700000,11.49000000,9.87760000,10.04710000,2996148.06000000,1621123199999,31922523.93774700,80234,1448711.01000000,15449404.01624300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-16,10.03890000,11.99000000,9.98360000,10.99340000,4068162.40000000,1621209599999,44667035.73625200,110597,1979472.86000000,21761711.56785100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-17,10.98440000,13.53000000,9.50000000,13.08280000,11063836.45000000,1621295999999,133661629.54342100,286038,5604886.47000000,67890214.19249400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-18,13.06180000,13.76590000,11.31110000,11.59610000,7045014.59000000,1621382399999,86578408.35316000,210854,3515121.01000000,43234654.75297300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-19,11.59970000,12.03000000,5.80000000,6.76550000,10801157.30000000,1621468799999,93188571.41169700,255308,5052036.70000000,43751939.75025100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-20,6.76090000,8.32100000,6.03070000,7.45730000,6386889.03000000,1621555199999,46792093.34808600,133329,3182647.05000000,23343725.70702200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-21,7.44840000,8.05070000,5.21010000,6.35740000,6346490.67000000,1621641599999,42472375.31959300,111940,3085825.25000000,20691760.39264000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-22,6.32250000,6.49820000,5.25000000,6.09470000,4620574.92000000,1621727999999,27541098.65333200,87678,2321557.44000000,13838937.78276000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-23,6.09470000,6.24990000,3.76170000,5.10500000,7259012.55000000,1621814399999,35158310.62982400,106163,3476504.26000000,16863231.81347400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-24,5.11000000,6.20000000,4.91850000,6.14890000,5544418.66000000,1621900799999,30918581.06121000,100375,2787016.70000000,15545344.65674900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-25,6.14890000,7.09000000,5.27700000,6.82000000,6887731.79000000,1621987199999,41407701.78126900,114967,3482515.73000000,21000572.01987700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-26,6.82150000,7.75000000,6.52000000,7.57040000,7283168.58000000,1622073599999,52556272.89396300,149490,3714392.57000000,26823580.34135400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-27,7.57040000,8.90400000,6.70100000,7.76000000,8284846.66000000,1622159999999,65151747.42190600,159000,4174809.76000000,32836028.27804900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-28,7.77910000,8.37100000,6.32510000,6.88630000,7337843.04000000,1622246399999,52932138.20639000,123093,3554575.28000000,25638716.58215200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-29,6.88600000,7.39170000,5.53640000,5.93850000,4445841.83000000,1622332799999,28841889.79184700,73474,2171205.25000000,14109624.29037500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-30,5.96350000,7.60000000,5.51170000,6.99620000,7227619.80000000,1622419199999,49947298.61467200,122879,3674109.97000000,25426876.08224000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-31,6.99620000,7.50000000,6.47400000,7.43920000,6176222.67000000,1622505599999,43834069.37950700,108663,3319735.19000000,23634183.88254200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-01,7.41950000,7.72000000,6.66000000,6.92020000,4745506.40000000,1622591999999,33641927.73051900,89498,2358447.90000000,16733156.20673600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-02,6.92180000,7.20000000,6.60000000,6.81000000,3549678.37000000,1622678399999,24542836.87847100,63921,1803111.18000000,12475874.12665400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-03,6.80090000,7.42990000,6.71790000,7.21990000,4674262.83000000,1622764799999,33255149.62713400,85309,2421824.84000000,17238417.00572200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-04,7.22750000,7.24900000,5.88360000,6.27090000,4524915.20000000,1622851199999,29131289.41462600,89473,2164642.21000000,13911771.34500800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-05,6.26720000,6.80000000,5.75010000,6.05850000,3635094.75000000,1622937599999,22930951.79482900,68208,1780356.16000000,11242813.95985100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-06,6.05850000,6.23910000,5.94060000,6.09980000,1472648.82000000,1623023999999,8981397.23022200,27293,747896.11000000,4563511.82320100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-07,6.10710000,6.52440000,5.40000000,5.61510000,3394539.36000000,1623110399999,20689685.74432700,56802,1585929.46000000,9682204.68762600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-08,5.61780000,5.67180000,4.85000000,5.34700000,3194827.42000000,1623196799999,17172945.54855400,56795,1518394.22000000,8160497.88632100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-09,5.34190000,5.80000000,4.96960000,5.71500000,2730511.55000000,1623283199999,14734774.69552600,47948,1357521.59000000,7324383.31067500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-10,5.72200000,5.90000000,5.27180000,5.53410000,2375437.39000000,1623369599999,13302798.32761400,43491,1156164.61000000,6478154.86610700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-11,5.54670000,6.71000000,5.31200000,6.05360000,7082658.74000000,1623455999999,44026605.18610300,131699,3646968.12000000,22689461.07204000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-12,6.06960000,6.09640000,5.12510000,5.31340000,3823093.14000000,1623542399999,20828538.78504600,71185,1843440.15000000,10034377.15486200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-13,5.31970000,6.25000000,5.16880000,6.04260000,3014206.81000000,1623628799999,16784898.53597700,57836,1566589.78000000,8756033.68423100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-14,6.04640000,6.10570000,5.58140000,5.83980000,3291429.94000000,1623715199999,19308473.60092400,49171,1654256.45000000,9713579.76435400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-15,5.84080000,6.19000000,5.51780000,5.63600000,4184911.07000000,1623801599999,24307232.87104200,59829,2095235.91000000,12169948.93101400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-16,5.63940000,6.01930000,5.21000000,5.29520000,4860338.38000000,1623887999999,27053850.77965300,73308,2397778.38000000,13372193.32251900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-17,5.29520000,5.97990000,5.27350000,5.67000000,7518809.59000000,1623974399999,42853329.71327700,97231,4294409.83000000,24553106.74594800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-18,5.66750000,5.84480000,5.12360000,5.25760000,4154037.72000000,1624060799999,22728267.27883400,69403,2060068.50000000,11287243.16250200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-19,5.25350000,5.33000000,4.92780000,4.96400000,2166047.33000000,1624147199999,11221400.25809600,36004,1064749.77000000,5522597.57896200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-20,4.96900000,5.19190000,4.50000000,4.98990000,2971656.27000000,1624233599999,14477617.49597900,43473,1443400.30000000,7045459.78722700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-21,4.99160000,5.03300000,3.70000000,3.75700000,4594282.78000000,1624319999999,19711346.78676400,60392,2176727.74000000,9357945.68030000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-22,3.75610000,4.07710000,3.17000000,3.59040000,6055290.89000000,1624406399999,21997516.10532300,77447,2912584.97000000,10635930.97032400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-23,3.59350000,4.81750000,3.48000000,4.73860000,6491461.38000000,1624492799999,28262170.97864000,101924,3316735.66000000,14430721.85221700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-24,4.73180000,4.74790000,4.31350000,4.44700000,4166423.35000000,1624579199999,18702610.60595500,68743,2114967.14000000,9502470.17415900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-25,4.44230000,4.51500000,3.74000000,3.78220000,3274586.51000000,1624665599999,13282210.34532200,47905,1620805.62000000,6584417.88525200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-26,3.77890000,3.90690000,3.39760000,3.67260000,3028728.10000000,1624751999999,10912163.01504900,39940,1502458.67000000,5418218.91566500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-27,3.67580000,3.81260000,3.45750000,3.80360000,2734608.39000000,1624838399999,9901154.04547200,35230,1372818.83000000,4977501.30765800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-28,3.80700000,4.05240000,3.73600000,3.89650000,2945313.19000000,1624924799999,11428455.13188000,34313,1469727.81000000,5706995.08444200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-29,3.90980000,4.24940000,3.83320000,3.99260000,3041013.36000000,1625011199999,12381711.33254100,41062,1570739.11000000,6394314.95045800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-06-30,3.99320000,4.04780000,3.62920000,3.92100000,3017026.15000000,1625097599999,11580977.39759500,39363,1499341.05000000,5753417.50352400,0,0.68500000,0.55200000,0.68600000,0.80800000
